id,store_id,crawl_store_id,"fw_type","smservername"
815,1076439,16,"OLD_FW",NULL
832,1173687,118,"OLD_FW",NULL
833,1173687,119,"OLD_FW",NULL
834,1173687,120,"OLD_FW",NULL
836,1173687,124,"OLD_FW",NULL
837,37132,125,"OLD_FW",NULL
838,1182271,124,"OLD_FW",NULL
839,1185279,16,"OLD_FW",NULL
849,1173687,120,"OLD_FW",NULL
851,1173687,118,"OLD_FW",NULL
852,1076439,74,"OLD_FW",NULL
874,952698,123,"OLD_FW",NULL
875,952698,122,"OLD_FW",NULL
877,1226447,59,"OLD_FW",NULL
879,1173687,128,"OLD_FW",NULL
881,1233019,94,"OLD_FW",NULL
882,1173687,138,"OLD_FW",NULL
883,1173687,135,"OLD_FW",NULL
884,1173687,133,"OLD_FW",NULL
885,1195464,134,"OLD_FW",NULL
886,1173687,132,"OLD_FW",NULL
887,1241245,122,"OLD_FW",NULL
888,1241245,123,"OLD_FW",NULL
891,715561,75,"OLD_FW",NULL
896,1262644,20,"OLD_FW",NULL
899,1073853,140,"OLD_FW",NULL
906,567708,151,"OLD_FW",NULL
908,1269539,151,"OLD_FW",NULL
910,1269641,151,"OLD_FW",NULL
911,1073853,150,"OLD_FW",NULL
915,651411,94,"OLD_FW",NULL
918,594563,151,"OLD_FW",NULL
919,643819,151,"OLD_FW",NULL
920,567703,151,"OLD_FW",NULL
921,567704,151,"OLD_FW",NULL
922,567706,151,"OLD_FW",NULL
924,567707,151,"OLD_FW",NULL
926,567709,151,"OLD_FW",NULL
927,567710,151,"OLD_FW",NULL
928,567710,151,"OLD_FW",NULL
929,567711,151,"OLD_FW",NULL
930,313372,151,"OLD_FW",NULL
931,288406,151,"OLD_FW",NULL
932,245134,151,"OLD_FW",NULL
933,245132,151,"OLD_FW",NULL
934,245131,151,"OLD_FW",NULL
935,643827,151,"OLD_FW",NULL
936,643827,151,"OLD_FW",NULL
937,650223,151,"OLD_FW",NULL
938,245129,151,"OLD_FW",NULL
939,245128,151,"OLD_FW",NULL
940,245127,151,"OLD_FW",NULL
941,240898,151,"OLD_FW",NULL
942,239032,151,"OLD_FW",NULL
943,239025,151,"OLD_FW",NULL
944,650863,151,"OLD_FW",NULL
953,567711,154,"OLD_FW",NULL
954,37132,156,"OLD_FW",NULL
955,568045,158,"OLD_FW",NULL
